"Freq [GHz]","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []","dB(S(2,3)) []","dB(S(2,4)) []","dB(S(3,4)) []"
1.04733333333333,-81.178692725973,-78.4508682997827,-81.1786079499683,-81.1514253685723,-78.4262495847164,-81.1658985321101
1.04766666666667,-81.1702281284333,-78.4393618052199,-81.1700527111365,-81.1427259916674,-78.4147332005841,-81.1575166417411
1.048,-81.1617500383311,-78.4278472357135,-81.161483918263,-81.1340131146262,-78.4032087223943,-81.1491213303798
1.04833333333333,-81.1532584318455,-78.4163245832014,-81.1529015481284,-81.1252867150264,-78.3916761420064,-81.1407125741536
1.04866666666667,-81.144753285149,-78.4047938396119,-81.1443055775087,-81.1165467704424,-78.3801354512698,-81.132290349181
1.049,-81.1362345744076,-78.393254996863,-81.1356959831753,-81.1077932584449,-78.3685866420234,-81.1238546315724
1.04933333333333,-81.1277022757807,-78.3817080468629,-81.1270727418959,-81.0990261566017,-78.3570297060962,-81.1154053974297
1.04966666666667,-81.1191563654219,-78.3701529815096,-81.1184358304338,-81.090245442477,-78.3454646353068,-81.1069426228469
1.05,-81.1105968194785,-78.3585897926911,-81.1097852255487,-81.0814510936325,-78.3338914214638,-81.0984662839102
1.05033333333333,-81.1020236140922,-78.3470184722852,-81.1011209039967,-81.0726430876269,-78.3223100563653,-81.0899763566978
